번호,연도,월,시도,구,상호,주소,상표,셀프여부,고급휘발유,휘발유,경유,실내등유
A0000856,2021년,10월,서울,구로구,남선석유(주)풀페이주유소,서울 구로구 경인로 41 (온수동),SK에너지,셀프,,1696.9,1496.13,
A0000335,2021년,10월,서울,성북구,원천주유소,서울 성북구 돌곶이로 142 (장위동),알뜰주유소,일반,,1681.1,1481.0,
A0009073,2021년,10월,서울,중구,장충드림주유소,서울 중구 동호로 296,SK에너지,셀프,2192.81,2110.23,1918.19,1380.0
A0011953,2021년,10월,서울,서초구,크로바주유소,서울 서초구 효령로 327 (서초동),SK에너지,일반,2157.35,1840.58,1676.39,
A0010117,2021년,10월,서울,노원구,신성주유소,서울 노원구 월계로 328 (월계동),S-OIL,셀프,,1759.29,1560.58,
A0009492,2021년,10월,서울,성북구,이케이에너지(주) 강산제2주유소,서울 성북구 보국문로 52,현대오일뱅크,셀프,1884.13,1691.81,1491.81,
A0033328,2021년,10월,서울,강서구,KH에너지(주)직영 KH외발산주유소,서울 강서구 방화대로 30,SK에너지,셀프,1946.71,1705.45,1496.13,
A0000648,2021년,10월,서울,구로구,현대오일뱅크(주)직영 신구로주유소,서울 구로구 가마산로 293 (구로동),현대오일뱅크,일반,1936.71,1792.52,1587.71,
A0009097,2021년,10월,서울,중구,약수주유소,서울 중구 다산로 173,GS칼텍스,일반,2498.29,2303.52,2073.68,
A0006667,2021년,10월,서울,구로구,근린공원주유소,서울 구로구 고척로 199 (고척동),S-OIL,일반,,1740.55,1530.55,1167.74
A0010090,2021년,10월,서울,노원구,월계주유소,서울 노원구 월계로 252 (월계동),GS칼텍스,셀프,,1720.61,1505.52,1149.0
A0001257,2021년,10월,서울,성북구,이케이에너지㈜ 강산주유소,서울 성북구 보문로 27 (보문동7가),GS칼텍스,셀프,,1697.58,1497.58,1029.35
A0000890,2021년,10월,서울,서초구,지에스칼텍스(주)선천주유소,서울 서초구 동작대로 206 (방배동),GS칼텍스,일반,1867.23,1734.32,1527.39,
A0000660,2021년,10월,서울,강동구,천호현대주유소,서울 강동구 천중로 67 (천호동),현대오일뱅크,일반,,1840.9,1641.06,
A0009486,2021년,10월,서울,성북구,장위주유소,서울 성북구 화랑로 110 (하월곡동),S-OIL,셀프,,1698.61,1498.61,
A0009811,2021년,10월,서울,강동구,현대오일뱅크㈜직영 명일셀프주유소,서울 강동구 고덕로 168 (명일동),현대오일뱅크,셀프,1982.87,1766.1,1566.1,
A0009096,2021년,10월,서울,중구,신당동주유소,서울 중구 다산로 242 (신당동),SK에너지,일반,2262.52,2112.52,1951.23,1293.55
A0009101,2021년,10월,서울,중구,장충주유소,서울 중구 장충단로 202 (장충동1가),SK에너지,일반,2235.1,2081.23,1895.87,
A0011816,2021년,10월,서울,서초구,태봉셀프주유소,서울 서초구 태봉로 117 (우면동),SK에너지,셀프,,1754.55,1554.55,
